name,category,review,summary
Mandragora: Whispers of the Witch Tree,Action RPG,7.5,A dark fantasy side-scrolling action RPG with a gothic art style reminiscent of Soulsborne aesthetics.
MindsEye,Third-Person Shooter,7.1,Build A Rocket Boy's ambitious narrative shooter set in a near-future city with AI conspiracy themes.
Ruined King: A League of Legends Story 2,RPG,7.4,The turn-based RPG sequel expanding the Shadow Isles lore with familiar League of Legends champions.
Rune Factory: Guardians of Azuma,Life Sim RPG,8.0,The latest entry in the farm-life RPG series set in a Japanese-inspired world with new dual-protagonist system.
Clair Obscur: Expedition 33,Turn-Based RPG,9.0,Sandfall Interactive's stunning debut JRPG set in a Belle Époque-inspired world fighting against an annual extinction event.
Path of Exile 2 (Full Release),ARPG,8.7,Grinding Gear Games' massive dark fantasy ARPG sequel launches fully with six acts and deep build customization.
Fable,Action RPG,8.2,Playground Games' long-awaited revival of the beloved Lionhead RPG series set in a reimagined Albion.
Hades 3,Roguelite,9.2,Supergiant Games continues Melinoë's journey through the underworld in this highly polished roguelite sequel.
Two Point Museum,Simulation,8.0,Two Point Studios expands to museums letting players build and manage various themed exhibition halls.
Synduality: Echo of Ada (Season 2),Online Shooter,7.2,Bandai Namco's mech-shooter looter returns with expanded story and new Drifter builds.
Nintendo Switch 2 Welcome Tour,Experience,7.0,An interactive showcase demonstrating the Nintendo Switch 2's new hardware features and capabilities.
Pac-Man Championship Edition 4,Arcade,7.8,The latest entry in the competitive Pac-Man revival featuring new maze types and online leaderboards.
Hogwarts Legacy 2,Action RPG,8.5,The sequel to the bestselling wizarding world RPG with expanded spell systems and a darker narrative.
Stellar Blade (PC),Action,8.6,The PC port of Shift Up's acclaimed action game featuring Eve's fight to reclaim Earth from monsters.
Persona 3 Reload: Episode Aigis (DLC),RPG,8.9,The expanded story content for P3R following Aigis in The Answer chapter with new gameplay and revelations.
Balatro (Console Expansion),Card Roguelite,9.5,The massively acclaimed poker-inspired roguelite expands with new jokers and gameplay modes on consoles.
Until Dawn (Remake),Horror,7.3,The enhanced version of Supermassive's iconic teen horror game rebuilt in Unreal Engine 5.
Resident Evil 9,Survival Horror,8.8,Capcom's next mainline Resident Evil entry returns to survival horror roots with a new protagonist and setting.
Ratchet & Clank: Rift Apart 2,Platformer,8.7,The sequel to Insomniac's dimension-hopping platformer with new worlds and an expanded weapon arsenal.
Granblue Fantasy Relink 2,Action RPG,8.1,Cygames' follow-up to the hit co-op action RPG with a deeper roster and expanded endgame systems.
Expedition 33 DLC,Turn-Based RPG,8.3,Additional story content for Clair Obscur expanding on companion backstories and adding new areas.
The First Berserker: Khazan,Action RPG,7.8,Neople's action RPG spinoff from Dungeon Fighter Online follows the legendary warrior Khazan.
Syndicate Rising,Strategy,7.5,A modern reimagining of the classic cyberpunk tactics franchise from a new indie studio.
Katana Zero 2,Action Platformer,8.9,The long-awaited sequel to the stylish one-hit-kill action platformer with expanded time-manipulation mechanics.
Hyper Light Breaker,Action,7.4,Heart Machine's 3D multiplayer expansion of the Hyper Light universe featuring roguelite co-op runs.
Star Wars Zero Company,Strategy,8.0,A tactical RPG set in the Star Wars universe with squad-based battles during the Clone Wars era.
Tainted Grail: The Fall of Avalon (Full),Action RPG,7.6,Questline's dark Arthurian RPG leaves early access with its complete story and world expansion.
Abiotic Factor (Full Release),Survival,8.2,The Source engine-inspired science facility survival game launches from early access with full story content.
Kingmakers,RTS Hybrid,8.0,A game where you deploy modern soldiers into historical battles affecting the course of medieval warfare.
Palia (Full Release),Cozy MMO,7.5,Singularity 6's cozy life-sim MMO exits beta with expanded regions and crafting systems.
Crimson Desert,Action Adventure,8.3,Pearl Abyss' open-world action RPG featuring mercenary captain Macduff in a war-torn fantasy world.
Mortal Kombat 2 (2025),Fighting,7.8,The sequel to the 2021 film adaptation continuing Outworld's bloody tournament storyline.
Rusted Moss 2,Action Platformer,8.1,The grapple-hook metroidvania sequel adds co-op and expands the eerie fairy-tale world.
Citizen Sleeper 2: Starward Vector,Narrative RPG,8.6,Jump Over Age's tabletop-inspired RPG sequel puts you on a drifting space station with a new Sleeper protagonist.
Lollipop Chainsaw Re:Prop,Action,7.6,The enhanced remake of Grasshopper Manufacture's cult zombie cheerleader hack-and-slash.
Skydance's Behemoth,VR Action,8.0,An epic VR action adventure featuring colossal monster hunts with physics-based melee combat.
Blue Prince,Puzzle,8.7,A unique house-building puzzle game where each run rearranges St. Abara manor's labyrinthine rooms.
Neon Genesis Evangelion VR,VR Experience,7.9,An official VR experience placing players inside the Eva cockpit during iconic battles from the series.
Paragon: The Overprime Revival,MOBA,7.0,A community-driven revival of Epic Games' abandoned hero-shooter MOBA with revamped heroes.
Sable: Colossus,Exploration,7.8,A sequel to Shedworks' beloved desert exploration game featuring ancient mechanical giants.
Karma: The Dark World,Psychological Horror,7.7,Pollard Studio's surreal first-person horror game set in a dystopian 1980s alternate Germany.
Legacy of Kain: Soul Reaver Reborn,Action Adventure,8.4,Crystal Dynamics brings back the beloved gothic vampire action series with a modern reimagining.
Dune: Awakening,Survival MMO,8.1,Funcom's open-world survival MMO set on Arrakis features spice harvesting and faction warfare.
Echoes of the Plum Grove,Life Sim,7.9,A cozy farming life-sim with procedurally generated family trees across multiple generations.
Another Crab's Treasure DLC,Soulslike,7.8,Expanded content for the beloved crustacean soulslike adding new underwater areas and bosses.
Witchbrook,Life Sim RPG,8.3,Chucklefish's magic school life-sim RPG finally releases after years of development with charming pixel art.
Hollow Knight: Silksong,Action Platformer,9.5,Team Cherry's long-anticipated sequel follows Hornet on a pilgrimage to a new mysterious kingdom.
Vampire Survivors (Sequel),Roguelite,8.8,Poncle's follow-up to the phenomenon bullet hell roguelite with bigger maps and more chaotic builds.
Pacific Drive: New Horizons,Survival,8.0,The expansion to Ironwood Studios' driving survival game adds new zones beyond the Olympic Exclusion Zone.
Ara: History Untold (Full Release),4X Strategy,7.9,Oxide Games' turn-based civilization builder exits early access with polished diplomacy and culture systems.
Schim 2,Puzzle Platformer,8.0,The charming shadow-hopping puzzle game returns with new environments and a deeper narrative.
Stardew Valley 1.7,Life Sim,9.3,ConcernedApe's beloved farming RPG receives another major update adding new farm types and story content.
No Man's Sky: Worlds Part II,Survival,8.5,Hello Games' latest major update adds planetary civilization encounters and atmospheric overhaul.
Sea of Stars: DLC,Turn-Based RPG,8.2,Sabotage Studio expands their acclaimed retro-inspired RPG with a new chapter featuring the Solstice Warrior.
Nier Automata 2,Action RPG,9.0,PlatinumGames and Square Enix return to the Nier universe with a new cast and philosophical narrative.
Castlevania: Nocturne Season 2 Game Tie-in,Action Platformer,7.8,A game companion to the acclaimed Netflix series featuring Richter Belmont's expanded vampire-hunting quest.
Detective Pikachu Returns 2,Adventure,7.5,The lovable talking Pikachu teams up with Tim Goodman again for a new mystery in a brand new city.
Kirby Air Riders,Racing,8.1,A spiritual successor to Kirby Air Ride featuring the beloved pink puffball in high-speed aerial racing.
Wuchang: Fallen Feathers,Action RPG,8.0,Leenzee Games' soulslike set in a dark alternate Ming Dynasty China with unique feather-based transformations.
Diablo IV: Vessel of Hatred (Season 3),ARPG,8.3,Blizzard continues expanding its dark action RPG with new seasons and the Spiritborn class adventures.
Slay the Spire 2,Card Roguelite,9.1,MegaCrit's sequel to the card-battling roguelite with new characters and a fully revamped relic system.
Astro Bot 2,Platformer,9.2,Team Asobi follows their award-winning platformer with a new adventure celebrating PlayStation history.
Little Nightmares III,Horror Platformer,8.0,Supermassive Games takes over the beloved horror series with a co-op adventure through The Nowhere.
Syndicate of Shadows,Stealth,7.7,An isometric stealth game inspired by classic espionage thrillers featuring a globe-trotting assassin.
Warhammer 40K: Space Marine 3,Action,8.4,Saber Interactive's brutal third-person action sequel pits Captain Demetrian Titus against Chaos forces.
Tekken 8 Year 2,Fighting,8.5,The second year of Tekken 8's content adds new fighters and balance overhauls to the acclaimed brawler.
Street Fighter 6: Year 3,Fighting,8.6,Capcom continues expanding their acclaimed fighter with new World Tour destinations and guest characters.
Dandy Ace 2,Roguelite,7.6,Neon-soaked card-based roguelite sequel featuring the extravagant magician Ace in new magical realms.
Darkest Dungeon III,Roguelite,8.5,Red Hook Studios pushes further into cosmic horror with a third entry expanding the stress and affliction systems.
